#app;icache hitrate;icache stalls;exp. dcache stalls;exp. dcache hitrate;measured dcache hitrate;assumed dcache hitrate;assumed dcache_read_hits;cached read pct;icache read pct;dcache read pct;mutex read pct;uncached read pct;write pct;spare pct;total pct;icache read bw;dcache read bw;mutex read bw;uncached heap read bw;check;write bw
#fluidanimate_bakery;0.9992807051;632691.600000024;83933.9249999762;0.9983396342;1.0032700487;0.9983396342;30761164.3702107;0.0076721933;0.7091718295;0.0573439558;51.938591755;47.2031924596;0.2978;0;100.2061;3.3164435246;0.2681691279;30.3613664431;27.5932283707;0;0.6629474866
#fluidanimate_dist;0.9973462067;2397969.89999998;1736199.62500002;0.9870678409;0.9984922509;0.9870678409;87646176.4456212;0.5017173501;32.5324657218;15.578665957;0;47.7817683213;6.6631;0.2899;102.8459;109.4189841995;52.3969446022;0;20.0885194105;0;19.1767936919
#radiosity_bakery;0.995791447;22753529.8000002;0;1;0.9610155113;0.9610155113;320937331.8;0.0525710158;3.3406654113;1.9114629509;62.6291141177;32.0241575201;0.2844;0;100.1898;15.1201835629;8.6514712288;35.4331991255;18.1180648364;0;0.6289031825
#radiosity_dist;0.9963631232;84124105.0999985;8363345.66562653;0.9926410623;0.7213274745;0.7213274745;655357311.1;0.5268922227;11.980231752;36.0565848841;0;43.1332833639;0.8625;8.0012;100.0338;40.8847033322;123.0496042713;0;18.4000144007;0;2.4705442496
#raytrace_bakery;0.9964771905;8550368.80000019;130880.72499981;0.9997139768;0.9893159309;0.9893159309;233322674.571429;0.6321834115;48.0453668083;14.1587624965;10.7601612536;25.4314094416;0.2864;1.3408;100.0229;175.6783302506;51.7716466547;4.9180787031;11.6237731217;0;0.8767207011
#raytrace_dist;0.9972013141;6783990.5;146586.084375;0.9996804582;0.9895304558;0.9895304558;234223862.3;0.6087798872;43.3411812884;15.8323455062;0;38.0266732054;0.3906;2.4106;100.0014;150.3251617581;54.9131294642;0;16.4865309124;0;1.1595344496
#volrend_bakery;0.99403196;5188383.39999998;376631.715625023;0.9966811953;0.9839816089;0.9839816089;60513944.4;0.5486470866;45.7700684973;8.6903421204;33.856156924;10.9465324583;0.1873;0.6035;100.0539;177.4574309995;33.6937618366;16.4081757699;5.3051688368;0;0.4973712242
#volrend_dist;0.9982373857;1842623.11111116;312478.545138836;0.9978018565;0.9954285202;0.9954285202;81096832.2222222;0.4668401524;33.6159769567;6.7945365699;0;46.1512642512;1.0075555556;12.4307777778;100.0001111111;104.9962053793;21.2220682466;0;18.0186181488;0;2.9387253922
app;icache hitrate;icache stalls;exp. dcache stalls;exp. dcache hitrate;measured dcache hitrate;assumed dcache hitrate;assumed dcache_read_hits;cached read pct;icache read pct;dcache read pct;mutex read pct;uncached read pct;write pct;spare pct;total pct;icache read bw;dcache read bw;mutex read bw;uncached heap read bw;check;write bw
fluidanimate_bakery;0.9994664;465783.100000024;138146.990624976;0.9971786999;1.0035320809;0.9971786999;29998553.620428;0.0064974706;0.5491380636;0.1000632106;51.0581449543;48.2086537715;0.3262;0;100.2422;2.5690165745;0.4681227976;29.8579786536;28.1916422251;0;0.7725732726
fluidanimate_dist;0.9981111803;1815323.60000002;1302291.58124998;0.9907685781;0.9966337513;0.9907685781;94545833.043601;0.4336207242;27.3899832117;13.2915759755;0;53.1367408128;6.2419;0.5754;100.6356;92.8968604801;45.0801911565;0;22.5275621726;0;17.8894070476
radiosity_bakery;0.9924426919;22119044;2335006.365625;0.9952636159;0.8758800957;0.8758800957;262650938.3;0.2879174773;10.6252910595;17.87928778;51.2282470501;19.2697741104;0.7905;0.282;100.0751;42.5140330795;71.5388056533;25.6218791737;9.6378043832;0;2.078621589
#radiosity_dist;0.9943176718;30178333.5999994;3663063.12500057;0.9961220193;0.9743792578;0.9743792578;578687579.222222;0.5559217943;36.0337874258;18.1686431141;0;43.2976694601;4.1067;0;101.6068;126.8296568244;63.9489472449;0;19.0495814874;0;11.8964002741
radiosity_dist;0.9943176718;30178333.5999994;3663063.12500057;0.9961220193;0.9743792578;0.9743792578;578687579.222222;0.5559217943;36.0337874258;18.1686431141;0;43.2976694601;2.5067;0;101.6068;126.8296568244;63.9489472449;0;19.0495814874;0;11.8964002741
raytrace_bakery;0.9967414243;7916169.9000001;0;1;0.9842436798;0.9842436798;230339754.7;0.607149975;40.1689647475;18.7109826655;19.5112466711;18.5864059159;0.2485;2.7739;100;141.7885243668;66.0460790629;8.6088566492;8.2007934629;0;0.7497504234
raytrace_dist;0.9971772354;6875086;102216.153125;0.9997778869;0.9913945575;0.9913945575;235472383.7;0.6149634399;45.4688141236;13.5176795837;0;36.9322062927;0.356;3.7254;100.0001;155.9974881761;46.3773709886;0;15.8386894554;0;1.0893104965
volrend_bakery;0.9969392507;2576421.5999999;260767.237500095;0.9975360754;0.994072434;0.994072434;57116124.6;0.2314539521;20.1909394309;2.6690499124;17.3435952864;58.5633153702;0.8176;0.5728;100.1573;82.5838783045;10.9168022573;8.8672283389;29.9415594689;0;1.7238259547
volrend_dist;0.9968657544;3410102.22222209;347549.250000132;0.9976570552;0.88205369;0.88205369;75976922.1111111;0.6752970678;14.4553703468;43.0658336268;0;27.6579071375;2.0663333333;12.8391111111;100.0845555556;48.1175259743;143.3530458527;0;11.5080938187;0;4.1656091601
