# nqueens
locals,globals,globloc_ratio,applications,stalls,doubles,postponed,workers,mem
1370944198,0,0.000000,609596307,0,0,0,1,32768
1371208366,124187,0.000091,609669028,42,0,0,2,32768
1371208366,124187,0.000091,609669028,42,0,0,3,28672
1371208366,124187,0.000091,609669028,44,0,0,4,20480
1371208366,124187,0.000091,609669028,59,0,0,5,15360
1371208366,124187,0.000091,609669028,62,0,0,6,16384
1371208366,124187,0.000091,609669028,71,0,0,7,18432
1371208366,124187,0.000091,609669028,73,0,0,8,20480
1371208366,124187,0.000091,609669028,66,0,0,9,21504
1371208366,124187,0.000091,609669028,76,0,0,10,23552
1371208399,124188,0.000091,609669043,64,1,0,11,25600
1371208366,124187,0.000091,609669028,70,0,0,12,27648
1371208366,124187,0.000091,609669028,63,0,0,13,29696
1371208366,124187,0.000091,609669028,71,0,0,14,31744
1371208366,124187,0.000091,609669028,66,0,0,15,33792
1371208366,124187,0.000091,609669028,65,0,0,16,35840
1371208366,124187,0.000091,609669028,65,0,0,17,37888
1371208366,124187,0.000091,609669028,61,0,0,18,39936
1371208366,124187,0.000091,609669028,62,0,0,19,41984
1371208366,124187,0.000091,609669028,66,0,0,20,44032
1371208366,124187,0.000091,609669028,56,0,0,21,46080
1373029276,124187,0.000090,610478754,65,2,0,22,48128
1371208366,124187,0.000091,609669028,56,0,0,23,50176
1371208366,124187,0.000091,609669028,59,0,0,24,52224
